Age,Height_cm,Weight_kg,BMI,Sport_Type,Level,Goal,Training_Days_Per_Week,Years_Training,Has_Injury_History,Endurance_Score,Strength_Score,Speed_Score,Flexibility_Score,Explosiveness_Score,Recovery_Score,Recommended_Program_ID
28,182,76,22.9,MMA,Beginner,Endurance,1,1.4,0,4,4,5,3,4,8,PRG_MMA_BEGINNER_BASE
15,182,59,17.8,Swimming,Intermediate,Speed,5,3.3,0,9,3,6,7,2,6,PRG_SW_DRY_LAND_STRENGTH
28,172,66,22.3,Boxing,Advanced,Strength,5,6.8,0,10,7,9,6,7,7,PRG_BOX_KNOCKOUT_POWER
22,184,77,22.7,Tennis,Beginner,Agility,2,0.1,0,7,5,4,5,6,8,PRG_TN_MOVEMENT_FOUNDATIONS
24,194,78,20.7,Basketball,Intermediate,Speed,3,1.9,0,7,4,6,4,7,9,PRG_BB_COMPLETE_ATHLETE
24,174,57,18.8,Track & Field,Intermediate,Strength,4,4.7,1,6,7,9,8,5,9,PRG_TF_GENERAL_TRACK_CONDITIONING
33,183,69,20.6,General Fitness,Beginner,Endurance,2,0.2,1,5,4,6,1,4,6,PRG_FIT_CARDIO_ENDURANCE
20,178,79,24.9,Tennis,Beginner,Speed,2,1.5,0,5,3,7,7,5,10,PRG_TN_MOVEMENT_FOUNDATIONS
19,164,66,24.5,MMA,Beginner,Endurance,2,0.5,0,6,5,1,6,3,10,PRG_MMA_BEGINNER_BASE
18,175,73,23.8,Football,Intermediate,Strength,4,1.0,0,8,6,9,7,6,7,PRG_FB_STRENGTH_STAMINA
22,176,69,22.3,Track & Field,Intermediate,Endurance,4,4.8,0,6,5,8,4,7,9,PRG_TF_AEROBIC_BASE
17,173,75,25.1,Boxing,Intermediate,Endurance,3,3.3,0,9,8,8,4,8,9,PRG_BOX_KNOCKOUT_POWER
18,203,88,21.4,Basketball,Advanced,Agility,4,8.1,1,7,6,8,9,8,7,PRG_BB_ANKLE_KNEE_PREHAB
29,179,82,25.6,General Fitness,Beginner,Muscle_Gain,3,0.1,0,5,4,4,3,7,7,PRG_FIT_HYPERTROPHY_BEGINNER
21,170,82,28.4,Football,Intermediate,Strength,4,4.5,0,7,5,7,5,7,6,PRG_FB_EXPLOSIVE_ATHLETE
38,177,65,20.7,General Fitness,Beginner,Muscle_Gain,1,0.1,0,7,4,3,5,4,8,PRG_FIT_HYPERTROPHY_BEGINNER
19,173,60,20.0,Swimming,Advanced,Strength,5,7.1,0,9,7,5,9,8,8,PRG_SW_RACE_CONDITIONING
27,168,98,34.7,Football,Intermediate,Endurance,3,3.9,0,4,7,7,5,8,7,PRG_FB_LINEMAN_POWER
23,184,76,22.4,Swimming,Advanced,Endurance,5,6.3,1,10,6,10,10,7,5,PRG_SW_DISTANCE_ELITE
25,167,78,28.0,General Fitness,Intermediate,Weight_Loss,5,1.6,0,7,6,6,5,4,8,PRG_FIT_FAT_LOSS_HIIT
25,188,67,19.0,Football,Intermediate,Muscle_Gain,4,5.4,0,5,10,5,6,8,7,PRG_FB_STRENGTH_STAMINA
30,197,72,18.6,Basketball,Intermediate,Muscle_Gain,4,2.1,0,6,7,9,4,4,6,PRG_BB_CHANGE_OF_DIRECTION
25,167,58,20.8,Track & Field,Intermediate,Endurance,3,2.0,0,9,4,9,7,8,7,PRG_TF_DISTANCE_ELITE
31,172,70,23.7,Track & Field,Intermediate,Speed,5,2.6,1,5,6,10,6,5,7,PRG_TF_SPRINT_ELITE
24,182,73,22.0,Tennis,Advanced,Speed,4,6.7,0,8,7,8,10,4,8,PRG_TN_COMPETITION_READINESS
32,180,85,26.2,Tennis,Beginner,Endurance,2,0.9,0,5,2,7,5,3,6,PRG_TN_MOVEMENT_FOUNDATIONS
15,175,70,22.9,General Fitness,Beginner,Weight_Loss,3,2.2,0,3,8,7,5,3,8,PRG_FIT_FAT_LOSS_HIIT
28,198,70,17.9,Basketball,Intermediate,Speed,3,3.1,0,7,3,7,7,6,7,PRG_BB_CHANGE_OF_DIRECTION
15,184,67,19.8,Tennis,Beginner,Endurance,2,0.1,0,5,5,6,5,4,8,PRG_TN_MOVEMENT_FOUNDATIONS
15,180,83,25.6,Football,Advanced,Strength,4,7.3,0,7,9,8,4,9,7,PRG_FB_EXPLOSIVE_ATHLETE
19,182,72,21.7,Swimming,Beginner,Agility,3,0.5,0,7,2,5,8,2,10,PRG_SW_TECHNIQUE_AND_BASE
30,167,60,21.5,Track & Field,Intermediate,Speed,5,3.6,0,7,7,7,6,6,8,PRG_TF_SPRINT_ELITE
22,177,97,31.0,Football,Advanced,Speed,5,7.6,1,5,8,9,7,7,8,PRG_FB_INJURY_PREVENTION
23,187,83,23.7,Football,Beginner,Endurance,3,0.4,1,4,6,6,5,2,8,PRG_FB_ATHLETIC_DEVELOPMENT
25,173,76,25.4,Track & Field,Intermediate,Endurance,4,3.4,0,7,6,8,7,6,7,PRG_TF_DISTANCE_ELITE
26,171,62,21.2,Track & Field,Beginner,Agility,1,0.1,0,6,6,6,3,4,9,PRG_TF_RUNNING_MECHANICS
22,175,64,20.9,Boxing,Beginner,Muscle_Gain,3,0.1,0,6,6,4,5,6,6,PRG_BOX_FOUNDATIONS
19,171,79,27.0,Track & Field,Intermediate,Speed,4,3.7,0,9,6,8,6,7,7,PRG_TF_SPRINT_ELITE
15,184,58,17.1,Swimming,Advanced,Endurance,5,6.0,0,10,4,7,8,8,10,PRG_SW_DISTANCE_ELITE
28,178,74,23.4,MMA,Intermediate,Endurance,4,5.9,0,5,5,6,8,7,5,PRG_MMA_GENERAL_CONDITIONING
31,176,83,26.8,MMA,Intermediate,Agility,5,3.2,1,7,8,7,6,7,6,PRG_MMA_INJURY_PREVENTION
19,177,73,23.3,Track & Field,Beginner,Endurance,2,0.1,0,6,3,7,7,5,9,PRG_TF_RUNNING_MECHANICS
26,183,99,29.6,Football,Intermediate,Strength,4,2.6,1,4,7,3,6,5,6,PRG_FB_INJURY_PREVENTION
25,183,84,25.1,Track & Field,Advanced,Endurance,6,5.8,0,10,7,9,5,7,6,PRG_TF_DISTANCE_ELITE
31,180,74,22.8,Tennis,Advanced,Strength,5,5.5,1,6,7,9,9,8,7,PRG_TN_SHOULDER_ELBOW_PREHAB
26,185,91,26.6,Football,Advanced,Strength,5,6.9,0,7,9,9,4,8,8,PRG_FB_EXPLOSIVE_ATHLETE
25,193,62,16.6,Basketball,Beginner,Weight_Loss,3,0.1,0,3,3,6,5,5,9,PRG_BB_ATHLETIC_BASE
28,186,64,18.5,Tennis,Intermediate,Speed,5,5.1,1,8,6,6,8,5,7,PRG_TN_SHOULDER_ELBOW_PREHAB
21,181,93,28.4,Football,Beginner,Agility,1,0.7,0,5,3,3,2,8,9,PRG_FB_ATHLETIC_DEVELOPMENT
45,163,80,30.1,General Fitness,Beginner,Weight_Loss,3,0.3,1,3,4,1,3,3,7,PRG_FIT_FAT_LOSS_HIIT
28,196,71,18.5,Basketball,Intermediate,Muscle_Gain,5,1.4,1,8,3,6,4,4,8,PRG_BB_ANKLE_KNEE_PREHAB
22,171,67,22.9,General Fitness,Beginner,Speed,2,1.2,0,6,3,6,2,4,9,PRG_FIT_BALANCED_WELLNESS
28,175,62,20.2,Boxing,Intermediate,Endurance,4,4.3,0,5,8,6,4,4,7,PRG_BOX_CARDIO_BASE
17,181,78,23.8,Swimming,Beginner,Endurance,3,0.6,0,5,3,7,8,7,7,PRG_SW_TECHNIQUE_AND_BASE
28,185,92,26.9,Football,Beginner,Agility,3,1.2,0,3,3,3,1,7,7,PRG_FB_ATHLETIC_DEVELOPMENT
23,189,77,21.6,Basketball,Intermediate,Speed,5,3.0,0,7,8,5,5,5,5,PRG_BB_COMPLETE_ATHLETE
26,177,67,21.4,MMA,Beginner,Strength,4,1.3,0,2,6,5,2,3,7,PRG_MMA_BEGINNER_BASE
16,186,83,24.0,Swimming,Advanced,Weight_Loss,5,7.1,0,9,7,8,9,10,7,PRG_SW_RACE_CONDITIONING
18,181,76,23.2,Football,Intermediate,Strength,3,3.1,0,3,6,8,3,8,9,PRG_FB_EXPLOSIVE_ATHLETE
41,172,73,24.7,General Fitness,Beginner,Speed,2,1.6,1,5,3,3,5,3,7,PRG_FIT_BALANCED_WELLNESS
20,174,62,20.5,Swimming,Intermediate,Endurance,2,2.6,0,9,4,4,8,4,8,PRG_SW_DISTANCE_ELITE
20,174,77,25.4,Track & Field,Advanced,Endurance,5,6.5,0,9,8,10,7,5,8,PRG_TF_DISTANCE_ELITE
26,179,79,24.7,Tennis,Intermediate,Agility,5,4.3,0,5,6,5,4,4,8,PRG_TN_COURT_MOVEMENT
35,180,71,21.9,Tennis,Beginner,Muscle_Gain,1,1.6,0,6,6,7,7,6,8,PRG_TN_MOVEMENT_FOUNDATIONS
20,182,98,29.6,Football,Intermediate,Endurance,5,4.5,0,6,9,8,6,8,8,PRG_FB_LINEMAN_POWER
22,192,80,21.7,Basketball,Intermediate,Weight_Loss,4,5.2,1,5,8,8,6,6,6,PRG_BB_ANKLE_KNEE_PREHAB
21,170,74,25.6,Boxing,Beginner,Muscle_Gain,3,0.1,0,3,7,8,6,2,7,PRG_BOX_FOUNDATIONS
15,168,84,29.8,MMA,Beginner,Weight_Loss,3,0.1,0,4,3,6,4,6,8,PRG_MMA_BEGINNER_BASE
19,200,92,23.0,Basketball,Beginner,Weight_Loss,3,0.1,0,5,5,5,3,7,9,PRG_BB_ATHLETIC_BASE
27,177,61,19.5,Tennis,Beginner,Weight_Loss,3,1.6,1,4,3,7,7,5,5,PRG_TN_MOVEMENT_FOUNDATIONS
30,177,71,22.7,Swimming,Advanced,Muscle_Gain,5,7.8,0,10,8,9,6,5,7,PRG_SW_RACE_CONDITIONING
18,173,72,24.1,Swimming,Advanced,Speed,4,9.2,0,10,10,8,9,6,7,PRG_SW_SPRINT_POWER
29,173,73,24.4,MMA,Intermediate,Muscle_Gain,5,3.1,0,8,5,6,4,7,7,PRG_MMA_GENERAL_CONDITIONING
34,177,68,21.7,Tennis,Intermediate,Strength,3,4.3,1,5,4,9,6,7,7,PRG_TN_SHOULDER_ELBOW_PREHAB
30,181,75,22.9,Track & Field,Intermediate,Speed,4,1.9,1,8,3,10,7,5,7,PRG_TF_SPRINT_ELITE
19,176,74,23.9,General Fitness,Intermediate,Endurance,6,1.3,0,6,6,3,8,7,8,PRG_FIT_CARDIO_ENDURANCE
29,197,77,19.8,Basketball,Beginner,Muscle_Gain,4,2.2,0,4,4,6,6,5,7,PRG_BB_ATHLETIC_BASE
23,183,60,17.9,Track & Field,Advanced,Speed,4,9.6,0,8,6,9,6,10,8,PRG_TF_SPRINT_ELITE
22,176,66,21.3,Boxing,Advanced,Muscle_Gain,5,6.0,0,8,7,9,7,10,8,PRG_BOX_KNOCKOUT_POWER
26,175,60,19.6,Boxing,Beginner,Weight_Loss,3,0.1,0,3,5,4,2,5,7,PRG_BOX_FOUNDATIONS
27,185,72,21.0,Tennis,Intermediate,Muscle_Gain,3,4.2,0,9,3,6,6,9,7,PRG_TN_CORE_STABILITY
23,181,83,25.3,Basketball,Intermediate,Endurance,5,1.9,0,6,4,8,7,5,7,PRG_BB_CHANGE_OF_DIRECTION
20,168,59,20.9,Track & Field,Advanced,Strength,6,8.0,0,10,6,10,10,8,9,PRG_TF_THROWS_JUMPS_POWER
27,180,80,24.7,MMA,Advanced,Endurance,5,6.1,0,8,6,10,9,10,8,PRG_MMA_PEAK_PERFORMANCE
18,179,60,18.7,Swimming,Intermediate,Strength,5,1.2,0,8,5,7,7,8,9,PRG_SW_RACE_CONDITIONING
29,163,65,24.5,Boxing,Beginner,Endurance,3,0.1,0,5,5,8,5,7,8,PRG_BOX_FOUNDATIONS
22,165,77,28.3,Boxing,Beginner,Muscle_Gain,3,1.1,0,6,4,4,6,5,6,PRG_BOX_FOUNDATIONS
22,180,84,25.9,MMA,Intermediate,Muscle_Gain,4,5.1,0,5,6,5,7,7,6,PRG_MMA_GENERAL_CONDITIONING
21,168,63,22.3,Tennis,Intermediate,Weight_Loss,4,4.6,0,8,6,6,8,6,8,PRG_TN_COMPETITION_READINESS
17,175,80,26.1,Football,Advanced,Agility,4,7.8,0,9,10,10,6,9,7,PRG_FB_EXPLOSIVE_ATHLETE
29,175,83,27.1,MMA,Intermediate,Endurance,3,3.7,1,7,8,9,6,7,8,PRG_MMA_INJURY_PREVENTION
15,168,70,24.8,Swimming,Advanced,Muscle_Gain,5,7.2,0,10,4,9,9,10,7,PRG_SW_DRY_LAND_STRENGTH
27,174,69,22.8,Boxing,Beginner,Speed,3,0.3,0,7,6,6,4,4,7,PRG_BOX_FOUNDATIONS
21,171,56,19.2,Boxing,Intermediate,Strength,3,2.7,0,8,7,6,5,7,8,PRG_BOX_KNOCKOUT_POWER
22,183,76,22.7,Tennis,Beginner,Weight_Loss,3,2.3,0,3,1,5,5,3,9,PRG_TN_MOVEMENT_FOUNDATIONS
29,162,68,25.9,Tennis,Advanced,Agility,4,7.8,0,8,6,9,8,7,8,PRG_TN_FOOTWORK_ELITE
22,183,97,29.0,Football,Advanced,Endurance,4,7.9,0,8,9,9,7,9,7,PRG_FB_LINEMAN_POWER
28,173,79,26.4,MMA,Beginner,Strength,3,3.2,0,5,7,4,6,3,7,PRG_MMA_BEGINNER_BASE
15,181,69,21.1,Swimming,Intermediate,Strength,4,2.7,0,8,6,8,7,5,9,PRG_SW_RACE_CONDITIONING
16,160,74,28.9,Boxing,Intermediate,Strength,4,2.3,0,7,6,8,6,9,9,PRG_BOX_KNOCKOUT_POWER
31,170,72,24.9,General Fitness,Beginner,Weight_Loss,2,1.9,0,2,3,6,6,6,9,PRG_FIT_FAT_LOSS_HIIT
24,166,83,30.1,Swimming,Intermediate,Speed,4,0.1,1,9,7,6,7,6,7,PRG_SW_RACE_CONDITIONING
22,179,68,21.2,Boxing,Beginner,Muscle_Gain,2,1.0,0,6,2,7,5,4,8,PRG_BOX_FOUNDATIONS
16,175,62,20.2,Track & Field,Advanced,Agility,6,7.2,1,9,7,10,7,8,7,PRG_TF_GENERAL_TRACK_CONDITIONING
32,167,75,26.9,General Fitness,Intermediate,Muscle_Gain,4,4.6,0,7,8,6,7,8,9,PRG_FIT_HYPERTROPHY_INTERMEDIATE
18,174,53,17.5,Track & Field,Intermediate,Muscle_Gain,4,2.3,0,10,5,8,6,4,9,PRG_TF_GENERAL_TRACK_CONDITIONING
21,179,76,23.7,Football,Beginner,Strength,2,1.2,0,5,6,7,7,2,9,PRG_FB_ATHLETIC_DEVELOPMENT
16,179,102,31.8,Football,Advanced,Muscle_Gain,5,7.0,0,8,9,9,5,7,8,PRG_FB_LINEMAN_POWER
30,174,69,22.8,MMA,Beginner,Agility,3,1.4,0,4,3,4,6,7,6,PRG_MMA_BEGINNER_BASE
18,183,71,21.2,Swimming,Beginner,Muscle_Gain,3,0.1,0,6,5,3,7,7,8,PRG_SW_TECHNIQUE_AND_BASE
24,182,71,21.4,Boxing,Beginner,Endurance,3,0.1,0,4,6,2,4,4,7,PRG_BOX_FOUNDATIONS
16,185,78,22.8,Football,Intermediate,Muscle_Gain,5,4.9,1,4,9,7,8,7,8,PRG_FB_INJURY_PREVENTION
24,181,76,23.2,Swimming,Intermediate,Weight_Loss,4,2.5,0,8,7,7,5,9,8,PRG_SW_RACE_CONDITIONING
19,182,72,21.7,Basketball,Advanced,Strength,4,5.0,0,6,7,10,7,5,8,PRG_BB_CHANGE_OF_DIRECTION
30,168,81,28.7,General Fitness,Intermediate,Muscle_Gain,5,4.9,0,7,3,7,7,6,6,PRG_FIT_HYPERTROPHY_BEGINNER
22,178,91,28.7,Football,Intermediate,Endurance,5,4.3,1,4,8,6,5,8,7,PRG_FB_INJURY_PREVENTION
26,176,79,25.5,Boxing,Intermediate,Weight_Loss,3,3.7,0,7,5,7,8,6,8,PRG_BOX_GENERAL_COMBAT_FITNESS
27,170,67,23.2,Track & Field,Beginner,Speed,2,2.5,0,6,2,4,4,6,9,PRG_TF_RUNNING_MECHANICS
19,179,68,21.2,Swimming,Beginner,Muscle_Gain,2,0.1,0,7,4,3,5,7,9,PRG_SW_TECHNIQUE_AND_BASE
17,160,65,25.4,Track & Field,Intermediate,Endurance,4,2.3,0,5,4,6,5,4,6,PRG_TF_AEROBIC_BASE
33,157,76,30.8,Tennis,Beginner,Weight_Loss,3,0.3,1,5,3,7,5,4,9,PRG_TN_MOVEMENT_FOUNDATIONS
30,180,85,26.2,MMA,Intermediate,Endurance,6,0.9,1,7,4,9,7,5,7,PRG_MMA_INJURY_PREVENTION
22,181,67,20.5,Boxing,Intermediate,Strength,4,6.2,0,7,4,4,4,4,7,PRG_BOX_STRENGTH_FOUNDATION
30,162,79,30.1,General Fitness,Intermediate,Muscle_Gain,4,4.2,0,7,7,6,6,5,6,PRG_FIT_FAT_LOSS_HIIT
24,171,69,23.6,Track & Field,Intermediate,Endurance,3,3.4,0,8,8,8,3,6,8,PRG_TF_DISTANCE_ELITE
21,178,83,26.2,Swimming,Advanced,Endurance,4,6.2,1,10,9,8,8,5,8,PRG_SW_DISTANCE_ELITE
26,176,80,25.8,Football,Advanced,Endurance,5,8.0,1,7,6,8,6,10,6,PRG_FB_INJURY_PREVENTION
25,172,60,20.3,Track & Field,Advanced,Strength,4,5.3,1,10,9,10,6,8,7,PRG_TF_THROWS_JUMPS_POWER
19,168,63,22.3,MMA,Advanced,Muscle_Gain,4,9.4,0,6,8,6,8,6,7,PRG_MMA_PEAK_PERFORMANCE
31,172,70,23.7,Tennis,Intermediate,Muscle_Gain,3,1.3,1,8,6,6,6,4,8,PRG_TN_SHOULDER_ELBOW_PREHAB
17,172,71,24.0,Track & Field,Beginner,Endurance,3,0.1,0,4,6,7,5,4,7,PRG_TF_RUNNING_MECHANICS
22,185,79,23.1,General Fitness,Beginner,Weight_Loss,3,0.5,0,6,1,4,2,2,10,PRG_FIT_FAT_LOSS_HIIT
26,177,56,17.9,Swimming,Advanced,Endurance,5,7.8,0,7,5,7,9,10,7,PRG_SW_DISTANCE_ELITE
28,180,91,28.1,Football,Advanced,Muscle_Gain,5,8.4,1,7,9,9,8,7,9,PRG_FB_INJURY_PREVENTION
26,202,86,21.1,Basketball,Advanced,Strength,5,6.9,0,8,6,9,7,9,9,PRG_BB_VERTICAL_PLYOMETRICS
24,186,90,26.0,Football,Advanced,Strength,6,7.4,0,7,8,9,7,10,7,PRG_FB_EXPLOSIVE_ATHLETE
24,174,68,22.5,MMA,Intermediate,Agility,4,4.3,0,6,5,5,5,7,7,PRG_MMA_SPEED_AGILITY
22,181,85,25.9,Football,Intermediate,Strength,5,5.1,0,6,7,9,6,6,8,PRG_FB_STRENGTH_STAMINA
31,183,93,27.8,General Fitness,Advanced,Weight_Loss,6,6.7,0,6,7,8,5,6,5,PRG_FIT_FAT_LOSS_HIIT
18,170,67,23.2,Track & Field,Beginner,Agility,3,2.4,0,6,5,7,7,6,9,PRG_TF_RUNNING_MECHANICS
15,177,70,22.3,Swimming,Advanced,Weight_Loss,5,6.1,0,10,7,7,9,8,9,PRG_SW_RACE_CONDITIONING
25,171,72,24.6,General Fitness,Beginner,Strength,2,0.1,0,4,3,3,4,2,7,PRG_FIT_POWERLIFTING
17,192,96,26.0,Basketball,Advanced,Endurance,5,7.2,0,7,10,7,6,8,8,PRG_BB_VERTICAL_PLYOMETRICS
19,172,69,23.3,Boxing,Advanced,Speed,5,5.3,0,8,5,8,5,7,8,PRG_BOX_ELITE_CONDITIONING
24,191,73,20.0,Swimming,Advanced,Strength,5,7.1,0,10,7,9,6,7,8,PRG_SW_RACE_CONDITIONING
25,170,57,19.7,Boxing,Beginner,Weight_Loss,2,3.1,1,3,4,2,7,5,8,PRG_BOX_FOUNDATIONS
24,195,68,17.9,Basketball,Intermediate,Agility,4,4.5,0,6,5,9,6,7,7,PRG_BB_CHANGE_OF_DIRECTION
15,187,69,19.7,Tennis,Intermediate,Endurance,4,4.6,0,8,5,7,6,6,7,PRG_TN_COMPETITION_READINESS
24,173,72,24.1,MMA,Beginner,Muscle_Gain,1,1.8,0,5,4,5,4,6,7,PRG_MMA_BEGINNER_BASE
22,183,68,20.3,Swimming,Advanced,Endurance,6,6.8,0,9,5,9,8,7,7,PRG_SW_DISTANCE_ELITE
17,183,81,24.2,Football,Beginner,Speed,3,2.6,0,1,7,5,3,5,7,PRG_FB_ATHLETIC_DEVELOPMENT
25,181,62,18.9,General Fitness,Beginner,Strength,3,0.1,0,9,5,2,6,7,8,PRG_FIT_POWERLIFTING
26,179,84,26.2,General Fitness,Intermediate,Endurance,5,4.7,0,10,7,6,5,4,7,PRG_FIT_CARDIO_ENDURANCE
30,170,66,22.8,MMA,Intermediate,Strength,2,4.9,1,8,5,6,5,3,7,PRG_MMA_INJURY_PREVENTION
27,192,74,20.1,Basketball,Intermediate,Muscle_Gain,5,4.5,1,7,5,4,6,3,7,PRG_BB_ANKLE_KNEE_PREHAB
15,180,52,16.0,Swimming,Beginner,Endurance,2,0.1,0,7,2,4,5,2,7,PRG_SW_TECHNIQUE_AND_BASE
29,181,65,19.8,Tennis,Beginner,Speed,2,1.5,0,5,7,5,6,5,7,PRG_TN_MOVEMENT_FOUNDATIONS
23,167,83,29.8,General Fitness,Beginner,Weight_Loss,2,1.5,1,6,4,3,2,5,10,PRG_FIT_FAT_LOSS_HIIT
16,185,101,29.5,Football,Beginner,Weight_Loss,3,0.4,0,5,4,3,4,6,9,PRG_FB_ATHLETIC_DEVELOPMENT
24,177,63,20.1,Boxing,Beginner,Muscle_Gain,2,0.8,0,3,5,8,2,4,8,PRG_BOX_FOUNDATIONS
20,177,64,20.4,Track & Field,Advanced,Endurance,5,6.8,0,10,7,9,7,8,8,PRG_TF_DISTANCE_ELITE
22,185,86,25.1,Basketball,Advanced,Speed,4,7.1,1,7,7,8,6,5,8,PRG_BB_ANKLE_KNEE_PREHAB
28,180,56,17.3,Football,Beginner,Endurance,1,0.8,0,5,7,6,3,6,10,PRG_FB_ATHLETIC_DEVELOPMENT
15,175,57,18.6,Track & Field,Intermediate,Endurance,3,5.9,0,6,5,8,6,8,7,PRG_TF_AEROBIC_BASE
28,192,73,19.8,Tennis,Intermediate,Agility,4,5.2,0,8,7,7,9,5,6,PRG_TN_FOOTWORK_ELITE
15,178,71,22.4,Tennis,Advanced,Strength,4,8.6,0,8,10,9,6,7,8,PRG_TN_POWER_GENERATION
15,185,70,20.5,Swimming,Intermediate,Endurance,4,5.6,0,7,3,7,9,6,7,PRG_SW_DISTANCE_ELITE
30,184,58,17.1,Boxing,Beginner,Endurance,3,1.6,0,5,4,6,7,5,7,PRG_BOX_FOUNDATIONS
26,169,80,28.0,MMA,Beginner,Endurance,2,2.5,0,5,3,3,3,5,9,PRG_MMA_BEGINNER_BASE
23,173,70,23.4,Boxing,Beginner,Muscle_Gain,3,0.7,0,3,5,3,3,4,9,PRG_BOX_FOUNDATIONS
19,193,79,21.2,Basketball,Advanced,Speed,5,7.1,1,10,8,7,8,7,9,PRG_BB_ANKLE_KNEE_PREHAB
26,175,66,21.6,Swimming,Beginner,Endurance,3,1.2,0,9,3,4,7,2,9,PRG_SW_TECHNIQUE_AND_BASE
27,162,74,28.2,Track & Field,Beginner,Strength,3,1.4,0,7,3,5,3,6,7,PRG_TF_RUNNING_MECHANICS
23,191,99,27.1,Basketball,Advanced,Muscle_Gain,4,6.5,0,10,7,6,8,5,6,PRG_BB_COMPLETE_ATHLETE
15,170,68,23.5,General Fitness,Beginner,Muscle_Gain,2,1.3,0,4,4,5,2,5,9,PRG_FIT_HYPERTROPHY_BEGINNER
20,175,77,25.1,Swimming,Beginner,Endurance,2,0.4,0,7,4,6,3,4,8,PRG_SW_TECHNIQUE_AND_BASE
29,187,77,22.0,Basketball,Intermediate,Endurance,5,3.3,1,6,3,9,6,4,8,PRG_BB_ANKLE_KNEE_PREHAB
24,163,67,25.2,Boxing,Beginner,Agility,3,0.1,0,3,5,5,3,2,8,PRG_BOX_FOUNDATIONS
21,177,104,33.2,Football,Intermediate,Muscle_Gain,4,3.3,1,5,7,3,6,6,7,PRG_FB_INJURY_PREVENTION
28,176,91,29.4,General Fitness,Advanced,Weight_Loss,5,7.6,0,7,5,8,3,10,7,PRG_FIT_FAT_LOSS_HIIT
20,175,91,29.7,General Fitness,Intermediate,Agility,4,3.2,1,6,5,3,5,6,7,PRG_FIT_BALANCED_WELLNESS
15,170,83,28.7,General Fitness,Intermediate,Weight_Loss,3,5.1,1,4,10,5,9,3,9,PRG_FIT_FAT_LOSS_HIIT
17,168,73,25.9,Boxing,Intermediate,Muscle_Gain,4,4.1,0,5,6,5,6,5,7,PRG_BOX_GENERAL_COMBAT_FITNESS
15,185,66,19.3,Tennis,Intermediate,Muscle_Gain,4,3.9,1,6,7,7,9,8,8,PRG_TN_SHOULDER_ELBOW_PREHAB
24,184,76,22.4,Tennis,Beginner,Speed,3,3.6,0,5,6,7,6,4,9,PRG_TN_MOVEMENT_FOUNDATIONS
26,179,65,20.3,Boxing,Advanced,Strength,5,8.9,0,8,8,10,10,10,8,PRG_BOX_KNOCKOUT_POWER
35,168,100,35.4,MMA,Beginner,Strength,1,0.1,0,4,6,3,4,5,8,PRG_MMA_BEGINNER_BASE
21,183,130,38.8,Football,Advanced,Strength,5,5.5,0,9,10,9,4,8,9,PRG_FB_LINEMAN_POWER
37,170,63,21.8,Boxing,Beginner,Muscle_Gain,3,0.1,1,7,6,5,4,6,7,PRG_BOX_FOUNDATIONS
18,183,66,19.7,Tennis,Intermediate,Muscle_Gain,3,5.1,0,6,4,8,6,3,5,PRG_TN_CORE_STABILITY
15,175,63,20.6,Boxing,Advanced,Weight_Loss,5,6.5,0,8,5,9,8,10,7,PRG_BOX_ELITE_CONDITIONING
19,170,66,22.8,Track & Field,Beginner,Agility,2,0.4,1,4,3,4,6,1,7,PRG_TF_RUNNING_MECHANICS
24,178,69,21.8,Swimming,Intermediate,Endurance,5,3.1,0,9,9,5,9,7,8,PRG_SW_DISTANCE_ELITE
27,175,73,23.8,Boxing,Intermediate,Muscle_Gain,4,6.4,0,8,6,8,6,8,6,PRG_BOX_KNOCKOUT_POWER
18,178,60,18.9,Tennis,Advanced,Muscle_Gain,5,4.9,0,10,8,6,8,5,8,PRG_TN_COMPETITION_READINESS
26,177,78,24.9,MMA,Intermediate,Endurance,3,4.7,0,3,5,6,6,3,9,PRG_MMA_AEROBIC_BASE
20,191,82,22.5,Football,Beginner,Weight_Loss,3,1.4,0,5,6,6,6,4,8,PRG_FB_ATHLETIC_DEVELOPMENT
27,178,72,22.7,General Fitness,Beginner,Muscle_Gain,3,0.1,0,2,1,6,2,3,10,PRG_FIT_HYPERTROPHY_BEGINNER
31,181,50,15.3,MMA,Intermediate,Endurance,4,1.3,0,4,5,7,7,6,6,PRG_MMA_AEROBIC_BASE
24,195,57,15.0,Basketball,Intermediate,Strength,5,3.9,0,7,5,7,3,7,8,PRG_BB_POST_PLAYER_STRENGTH
31,174,74,24.4,Boxing,Intermediate,Speed,4,4.2,0,7,6,7,5,8,6,PRG_BOX_KNOCKOUT_POWER
21,186,72,20.8,Basketball,Intermediate,Agility,4,2.8,0,9,6,8,7,3,8,PRG_BB_CHANGE_OF_DIRECTION
21,171,80,27.4,MMA,Intermediate,Weight_Loss,4,3.6,1,9,8,8,4,5,8,PRG_MMA_INJURY_PREVENTION
20,172,66,22.3,General Fitness,Intermediate,Muscle_Gain,4,4.5,0,6,8,4,5,6,7,PRG_FIT_HYPERTROPHY_INTERMEDIATE
28,176,84,27.1,Boxing,Intermediate,Speed,4,5.0,0,9,7,4,4,7,6,PRG_BOX_KNOCKOUT_POWER
26,176,83,26.8,MMA,Intermediate,Weight_Loss,3,3.4,1,7,7,7,6,8,9,PRG_MMA_INJURY_PREVENTION
